station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
,Hockenheim,1997-07-27,Summer,18.9,14.2,24.2,0.8,0.0,237.4,19.7,56.3,1014.1,341.5
12843,Budapest,1997-08-10,Summer,20.9,15.3,27.5,0.3,,,,,,
,Spa,1997-08-24,Summer,24.9,18.8,29.4,2.2,,,,,,
,Monza,1997-09-07,Autumn,21.4,12.6,20.1,2.6,,,,,,
,Spielberg,1997-09-21,Autumn,11.5,7.5,17.5,0.0,0.0,,5.1,,1025.2,114.0
,Nürburg,1997-09-28,Autumn,11.9,4.5,19.8,0.0,0.0,126.3,6.1,19.8,1017.5,594.0
,Suzuka,1997-10-12,Autumn,14.6,18.3,19.9,0.3,,2.0,11.0,,1009.0,
,Jerez de la Frontera,1997-10-26,Autumn,18.5,13.8,21.9,2.2,,,,,,
,Melbourne,1996-03-10,Spring,16.7,16.1,23.7,4.8,,159.0,25.0,,1022.1,
83780,São Paulo,1996-03-31,Autumn,25.6,,29.7,0.0,,,,,,
87582,Buenos Aires,1996-04-07,Autumn,17.3,,24.5,0.0,,,,,,
,Nürburg,1996-04-28,Spring,12.0,7.9,18.0,2.3,0.0,138.6,9.7,34.1,1008.2,372.5
,Imola,1996-05-05,Spring,13.9,4.0,9.5,0.2,,,,,,
,Monte-Carlo,1996-05-19,Spring,16.8,,18.9,0.0,,,,,,
,Montmeló,1996-06-02,Summer,18.1,14.1,22.3,3.7,,307.0,11.4,,1017.7,
,Montreal,1996-06-16,Summer,14.5,11.3,19.1,0.4,0.0,,,,,
,Magny Cours,1996-06-30,Summer,17.0,11.8,21.4,0.6,,,,,,
,Hockenheim,1996-07-28,Summer,18.0,13.5,22.8,0.9,0.0,282.8,6.7,23.8,1017.5,288.0
12843,Budapest,1996-08-11,Summer,21.9,15.1,28.0,0.0,,,,,,
,Spa,1996-08-25,Summer,14.6,12.3,20.0,4.2,,,,,,
,Monza,1996-09-08,Autumn,13.4,4.4,15.0,0.0,,,11.1,,,
,Estoril,1996-09-22,Autumn,18.2,12.5,22.2,1.8,,,8.1,,1016.4,
,Suzuka,1996-10-13,Autumn,19.3,16.5,23.8,13.5,,27.0,7.2,,1018.9,
83780,São Paulo,1995-03-26,Autumn,19.4,17.0,,29.6,,,,,,
87582,Buenos Aires,1995-04-09,Autumn,19.2,16.9,27.7,37.1,,169.0,10.1,,,
,Imola,1995-04-30,Spring,11.5,4.2,9.6,2.4,,,,,,
,Montmeló,1995-05-14,Spring,17.6,9.9,22.8,1.6,,,,,,
,Monte-Carlo,1995-05-28,Spring,17.4,13.9,19.8,0.0,,,,,,
,Montreal,1995-06-11,Summer,17.1,10.4,21.9,0.5,0.0,162.3,16.3,,1020.5,
,Magny Cours,1995-07-02,Summer,20.9,17.2,26.6,6.5,,,9.1,,1008.0,
,Hockenheim,1995-07-30,Summer,23.7,16.1,30.1,0.0,0.0,70.1,9.0,33.9,1017.3,810.0
12843,Budapest,1995-08-13,Summer,21.4,12.9,28.0,0.0,,,,,,
,Spa,1995-08-27,Summer,16.1,15.0,19.2,4.8,,,,,,
,Monza,1995-09-10,Autumn,17.1,7.9,15.9,0.9,,,,,,
,Estoril,1995-09-24,Autumn,19.7,13.0,23.2,0.0,,42.5,14.0,,1031.2,
,Nürburg,1995-10-01,Autumn,9.2,3.4,12.1,2.2,0.0,216.0,11.7,30.7,1011.6,155.0
,Okayama,1995-10-22,Autumn,18.1,13.5,22.9,2.0,,8.0,16.3,,1017.2,
,Suzuka,1995-10-29,Autumn,17.4,12.8,20.4,1.6,,350.0,12.2,,1019.5,
95678,Adelaide,1995-11-12,Spring,,5.4,19.3,,,,,,,
83780,São Paulo,1994-03-27,Autumn,19.4,,25.1,11.0,,,,,,
,Okayama,1994-04-17,Spring,16.0,15.0,22.1,0.2,,,,,,
,Imola,1994-05-01,Spring,15.1,6.7,16.1,0.0,10.0,,,,,
,Monte-Carlo,1994-05-15,Spring,16.3,12.6,19.3,0.0,,,,,,
,Montmeló,1994-05-29,Spring,21.1,15.1,25.9,0.1,,,,,,
,Montreal,1994-06-12,Summer,14.8,11.6,18.6,1.2,0.0,,8.1,,1008.3,
,Magny Cours,1994-07-03,Summer,23.9,17.0,30.6,0.1,,,,,,
,Hockenheim,1994-07-31,Summer,26.0,18.6,33.2,0.1,0.0,115.0,7.2,35.0,1010.4,672.0
12843,Budapest,1994-08-14,Summer,19.7,16.3,23.3,2.0,,,,,,
,Spa,1994-08-28,Summer,15.1,11.8,19.3,0.0,,,,,,
,Monza,1994-09-11,Autumn,19.6,11.2,20.3,0.4,,,3.6,,,
,Estoril,1994-09-25,Autumn,16.8,11.4,18.6,4.2,,,10.3,,1016.2,
,Jerez de la Frontera,1994-10-16,Autumn,19.7,15.8,21.9,3.4,,,,,,
,Suzuka,1994-11-06,Autumn,16.4,13.4,19.6,9.3,,342.0,11.1,,1020.5,
95678,Adelaide,1994-11-13,Spring,,4.1,10.7,,,,,,,
,Midrand,1993-03-14,Spring,22.3,16.6,30.0,2.2,,,,,,
83780,São Paulo,1993-03-28,Autumn,22.3,19.0,28.0,2.3,,,3.7,,,
,Imola,1993-04-25,Spring,12.1,5.4,9.8,13.4,,,,,,
,Montmeló,1993-05-09,Spring,18.2,11.8,23.3,2.9,,,11.4,,1013.8,
,Monte-Carlo,1993-05-23,Spring,16.9,12.7,21.3,0.0,,,,,,
,Montreal,1993-06-13,Summer,12.8,7.8,18.6,2.3,0.0,320.0,16.7,,1016.8,
,Magny Cours,1993-07-04,Summer,22.7,15.3,29.2,0.0,,,4.5,,1023.0,
,Hockenheim,1993-07-25,Summer,15.6,12.9,21.2,4.7,0.0,236.9,17.0,64.4,1003.9,319.0
12843,Budapest,1993-08-15,Summer,26.1,18.2,32.5,0.0,,,,,,
,Spa,1993-08-29,Summer,13.4,6.9,19.2,0.0,,,,,,
,Monza,1993-09-12,Autumn,17.2,8.8,17.0,2.7,,,,,,
,Estoril,1993-09-26,Autumn,15.0,8.2,19.4,0.1,,,14.9,,1028.2,
,Suzuka,1993-10-24,Autumn,14.0,10.6,18.5,8.4,,,,,,
95678,Adelaide,1993-11-07,Spring,,6.6,16.4,,,,,,,
,Midrand,1992-03-01,Spring,23.3,15.9,32.1,2.4,,,,,,
,Mexico City,1992-03-22,Spring,23.0,13.1,30.1,0.0,,,,,,
83780,São Paulo,1992-04-05,Autumn,,,,0.0,,,,,,
,Montmeló,1992-05-03,Spring,14.6,9.9,16.7,1.8,,183.0,26.4,,1014.3,
,Imola,1992-05-17,Spring,17.4,12.6,21.5,13.5,40.5,209.0,9.7,,,
,Monte-Carlo,1992-05-31,Spring,19.9,,,2.0,,,,,,
,Montreal,1992-06-14,Summer,17.8,12.6,21.4,3.6,0.0,173.0,21.7,,1013.4,
,Magny Cours,1992-07-05,Summer,16.2,13.7,20.2,5.3,,308.8,16.7,,,
,Hockenheim,1992-07-26,Summer,20.6,14.6,26.0,0.0,0.0,238.1,8.7,33.9,1019.4,429.0
12843,Budapest,1992-08-16,Summer,21.5,15.5,27.3,,,,,,,
,Spa,1992-08-30,Summer,13.8,11.6,18.3,12.6,,,,,,
,Monza,1992-09-13,Autumn,19.3,12.3,21.9,0.0,,,6.6,,1018.2,
,Estoril,1992-09-27,Autumn,17.6,10.2,17.7,0.3,,,,,,
,Suzuka,1992-10-25,Autumn,15.1,16.5,19.2,2.5,,346.0,8.9,,1005.0,
95678,Adelaide,1992-11-08,Spring,,15.5,,,,,,,,
72278,Phoenix,1991-03-10,Spring,20.6,15.0,25.6,0.0,0.0,,8.6,18.4,1011.2,556.0
83780,São Paulo,1991-03-24,Autumn,20.3,,23.0,1.4,,,,,,
,Imola,1991-04-28,Spring,8.0,4.2,11.4,1.1,803.7,304.0,8.9,,1015.1,
